,device_model,os_version_key,name
0,Apple_Vision_Pro,"(1, 0, 2)",81
1,Apple_Vision_Pro,"(2, 0)",94
5,UniversalMac,"(11, 0, 1)",37
41,iPad_64bit_TouchID_ASTC,"(11, 0, 1)",19
66,"iPhone10,6","(12, 0)",20
62,"iPhone10,3","(12, 0)",20
42,iPad_64bit_TouchID_ASTC,"(12, 0)",20
6,UniversalMac,"(12, 0, 1)",50
67,"iPhone10,6","(13, 0)",30
7,UniversalMac,"(13, 0)",64
63,"iPhone10,3","(13, 0)",30
43,iPad_64bit_TouchID_ASTC,"(13, 1)",31
64,"iPhone10,3","(14, 0)",40
45,iPad_Educational,"(14, 0)",40
68,"iPhone10,6","(14, 0)",40
8,UniversalMac,"(14, 0)",78
9,UniversalMac,"(14, 3)",78
10,UniversalMac,"(14, 4)",79
11,UniversalMac,"(14, 6)",79
12,UniversalMac,"(15, 0)",91
51,iPad_Pro_Spring_2021,"(15, 0)",53
80,"iPhone14,4","(15, 0)",53
13,UniversalMac,"(15, 1)",91
14,UniversalMac,"(15, 2)",92
15,UniversalMac,"(15, 3)",92
16,UniversalMac,"(15, 4)",96
81,"iPhone14,4","(15, 4)",57
17,UniversalMac,"(15, 5)",96
82,"iPhone14,4","(15, 5)",57
83,"iPhone14,4","(15, 6)",57
18,UniversalMac,"(15, 6)",97
84,"iPhone14,4","(15, 7)",57
65,"iPhone10,3","(16, 0)",67
69,"iPhone10,6","(16, 0)",67
85,"iPhone14,4","(16, 0)",67
52,iPad_Pro_Spring_2021,"(16, 1)",67
86,"iPhone14,4","(16, 1)",67
113,"iPhone14,7","(16, 1, 2)",67
87,"iPhone14,4","(16, 2)",68
88,"iPhone14,4","(16, 3)",68
89,"iPhone14,4","(16, 4)",69
90,"iPhone14,4","(16, 5)",69
91,"iPhone14,4","(16, 6, 1)",69
137,iPhone_4.7_P3,"(16, 7, 12)",69
92,"iPhone14,4","(17, 0)",81
53,iPad_Pro_Spring_2021,"(17, 0)",81
93,"iPhone14,4","(17, 1)",81
94,"iPhone14,4","(17, 2)",81
95,"iPhone14,4","(17, 3)",81
96,"iPhone14,4","(17, 4)",82
54,iPad_Pro_Spring_2021,"(17, 4)",82
97,"iPhone14,4","(17, 5)",82
98,"iPhone14,4","(17, 6)",82
99,"iPhone14,4","(17, 7)",82
114,"iPhone14,7","(18, 0)",94
100,"iPhone14,4","(18, 0)",94
55,iPad_Pro_Spring_2021,"(18, 0)",94
101,"iPhone14,4","(18, 1)",94
102,"iPhone14,4","(18, 2)",95
103,"iPhone14,4","(18, 3)",95
104,"iPhone14,4","(18, 4)",99
56,iPad_Pro_Spring_2021,"(18, 4)",99
115,"iPhone14,7","(18, 4)",99
118,"iPhone15,2","(18, 4)",99
105,"iPhone14,4","(18, 5)",99
106,"iPhone14,4","(18, 6)",100
37,iPad_10.2,"(18, 7, 1)",100
38,iPad_10.2,"(18, 7, 3)",100
107,"iPhone14,4","(26, 0)",118
19,UniversalMac,"(26, 0)",115
127,"iPhone17,3","(26, 0)",118
57,iPad_Pro_Spring_2021,"(26, 0)",118
2,Apple_Vision_Pro,"(26, 0)",117
128,"iPhone17,3","(26, 0, 1)",118
108,"iPhone14,4","(26, 1)",120
109,"iPhone14,4","(26, 2)",120
60,iPad_Spring_2022,"(26, 2)",120
129,"iPhone17,3","(26, 2)",120
110,"iPhone14,4","(26, 3)",120
44,iPad_Air_M2,"(26, 3)",120
112,"iPhone14,6","(26, 3)",120
135,"iPhone18,3","(26, 3)",120
134,"iPhone18,2","(26, 3)",120
133,"iPhone18,1","(26, 3)",120
132,"iPhone17,5","(26, 3)",120
131,"iPhone17,4","(26, 3)",120
130,"iPhone17,3","(26, 3)",120
126,"iPhone17,2","(26, 3)",120
125,"iPhone17,1","(26, 3)",120
124,"iPhone16,2","(26, 3)",120
123,"iPhone16,1","(26, 3)",120
122,"iPhone15,5","(26, 3)",120
121,"iPhone15,4","(26, 3)",120
120,"iPhone15,3","(26, 3)",120
117,"iPhone14,8","(26, 3)",120
116,"iPhone14,7","(26, 3)",120
111,"iPhone14,5","(26, 3)",120
119,"iPhone15,2","(26, 3)",120
21,"iPad14,3","(26, 3)",120
40,iPad_10.2_2021,"(26, 3)",120
33,"iPad17,1","(26, 3)",120
136,"iPhone18,4","(26, 3)",120
3,Apple_Vision_Pro,"(26, 3)",119
34,"iPad17,2","(26, 3)",120
4,Apple_Vision_Pro_M5,"(26, 3)",119
35,"iPad17,3","(26, 3)",120
36,"iPad17,4","(26, 3)",120
70,"iPhone12,1","(26, 3)",120
61,iPad_Spring_2022,"(26, 3)",120
58,iPad_Pro_Spring_2021,"(26, 3)",120
50,iPad_Pro_M4,"(26, 3)",120
49,iPad_Pro_A12X_A12Z,"(26, 3)",120
48,iPad_Fall_2022,"(26, 3)",120
47,iPad_Fall_2021,"(26, 3)",120
46,iPad_Fall_2020,"(26, 3)",120
39,iPad_10.2_2020,"(26, 3)",120
59,iPad_Spring_2019,"(26, 3)",120
20,UniversalMac,"(26, 3)",117
71,"iPhone12,3","(26, 3)",120
73,"iPhone12,8","(26, 3)",120
22,"iPad14,4","(26, 3)",120
23,"iPad14,5","(26, 3)",120
24,"iPad14,6","(26, 3)",120
25,"iPad15,3","(26, 3)",120
26,"iPad15,4","(26, 3)",120
27,"iPad15,5","(26, 3)",120
28,"iPad15,6","(26, 3)",120
72,"iPhone12,5","(26, 3)",120
29,"iPad15,7","(26, 3)",120
31,"iPad16,1","(26, 3)",120
79,"iPhone14,3","(26, 3)",120
78,"iPhone14,2","(26, 3)",120
77,"iPhone13,4","(26, 3)",120
32,"iPad16,2","(26, 3)",120
75,"iPhone13,2","(26, 3)",120
74,"iPhone13,1","(26, 3)",120
30,"iPad15,8","(26, 3)",120
76,"iPhone13,3","(26, 3)",120
