,device_type,name,first_os_version,first_os_version_key,last_os_version,last_os_version_key
0,Mac,device-key-signature,13.0,"(13, 0)",26.3,"(26, 3)"
1,Mac,ec-version,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
2,Mac,is-c2k-equipment,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
3,Mac,is-green-tea,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
4,Mac,is-web-client,13.0,"(13, 0)",26.3,"(26, 3)"
5,Mac,kt-version,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
6,Mac,nicknames-version,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
7,Mac,optionally-receive-typing-indicators,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
8,Mac,prefers-sdr,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
9,Mac,sender-key-message-version,15.0,"(15, 0)",26.3,"(26, 3)"
10,Mac,show-peer-errors,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
11,Mac,supports-ack-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
12,Mac,supports-adaptive-temperature-automations,26.0,"(26, 0)",26.3,"(26, 3)"
13,Mac,supports-animoji-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
14,Mac,supports-aot,26.0,"(26, 0)",26.3,"(26, 3)"
15,Mac,supports-askto,14.0,"(14, 0)",26.3,"(26, 3)"
16,Mac,supports-askto-responseUI,26.3,"(26, 3)",26.3,"(26, 3)"
17,Mac,supports-askto-v2,26.0,"(26, 0)",26.3,"(26, 3)"
18,Mac,supports-audio-messaging-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
19,Mac,supports-autoloopvideo-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
20,Mac,supports-avless,13.0,"(13, 0)",26.3,"(26, 3)"
21,Mac,supports-be-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
22,Mac,supports-beacon-sharing-v2,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
23,Mac,supports-beacon-sharing-v3,14.0,"(14, 0)",26.3,"(26, 3)"
24,Mac,supports-beneficiary-invites,13.0,"(13, 0)",26.3,"(26, 3)"
25,Mac,supports-ca-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
26,Mac,supports-calls-25,26.0,"(26, 0)",26.3,"(26, 3)"
27,Mac,supports-certified-delivery-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
28,Mac,supports-ckv-enforcement,26.0,"(26, 0)",26.3,"(26, 3)"
29,Mac,supports-co,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
30,Mac,supports-cross-platform-sharing,13.0,"(13, 0)",26.3,"(26, 3)"
31,Mac,supports-dq-nr,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
32,Mac,supports-emoji-images,15.0,"(15, 0)",26.3,"(26, 3)"
33,Mac,supports-emoji-stickers,14.0,"(14, 0)",26.3,"(26, 3)"
34,Mac,supports-emoji-tapbacks,15.0,"(15, 0)",26.3,"(26, 3)"
35,Mac,supports-family-invite-message-bubble,13.0,"(13, 0)",26.3,"(26, 3)"
36,Mac,supports-findmy-plugin-messages,14.0,"(14, 0)",26.3,"(26, 3)"
37,Mac,supports-fm-fence-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
38,Mac,supports-fmd-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
39,Mac,supports-fsm-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
40,Mac,supports-fsm-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
41,Mac,supports-fsm-v3,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
42,Mac,supports-gft-calls,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
43,Mac,supports-gft-errors,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
44,Mac,supports-gft-relay,14.0,"(14, 0)",26.3,"(26, 3)"
45,Mac,supports-group-apple-cash,26.0,"(26, 0)",26.3,"(26, 3)"
46,Mac,supports-group-photo-refresh-version,14.4,"(14, 4)",26.3,"(26, 3)"
47,Mac,supports-gti,26.0,"(26, 0)",26.3,"(26, 3)"
48,Mac,supports-harmony,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
49,Mac,supports-hdr,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
50,Mac,supports-heif,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
51,Mac,supports-hi-res-vid,14.0,"(14, 0)",26.3,"(26, 3)"
52,Mac,supports-high-quality-photo-file-sizes,15.0,"(15, 0)",26.3,"(26, 3)"
53,Mac,supports-hk-resident,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
54,Mac,supports-hybrid-groups-v1,14.0,"(14, 0)",26.3,"(26, 3)"
55,Mac,supports-ii-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
56,Mac,supports-impact-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
57,Mac,supports-incoming-fmd-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
58,Mac,supports-inline-attachments,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
59,Mac,supports-introductions-v1,26.0,"(26, 0)",26.3,"(26, 3)"
60,Mac,supports-keep-receipts,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
61,Mac,supports-key-sharing,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
62,Mac,supports-legacy-contact-invites-v1,15.4,"(15, 4)",26.3,"(26, 3)"
63,Mac,supports-legacy-contact-invites-v2,26.0,"(26, 0)",26.3,"(26, 3)"
64,Mac,supports-legacy-contact-invites-v3,26.0,"(26, 0)",26.3,"(26, 3)"
65,Mac,supports-live-delivery,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
66,Mac,supports-live-translation,26.0,"(26, 0)",26.3,"(26, 3)"
67,Mac,supports-location-sharing,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
68,Mac,supports-lqm-hq,26.0,"(26, 0)",26.3,"(26, 3)"
69,Mac,supports-manatee-activity-sharing,15.0,"(15, 0)",26.3,"(26, 3)"
70,Mac,supports-maps-protocol-v5,13.0,"(13, 0)",26.3,"(26, 3)"
71,Mac,supports-maps-routing-path-leg,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
72,Mac,supports-maps-waypoint-route-sharing,13.0,"(13, 0)",26.3,"(26, 3)"
73,Mac,supports-maps-wgs84-elevation-model,26.0,"(26, 0)",26.3,"(26, 3)"
74,Mac,supports-media-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
75,Mac,supports-mirage,13.0,"(13, 0)",26.3,"(26, 3)"
76,Mac,supports-modern-gft,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
77,Mac,supports-nearby-facetime,26.0,"(26, 0)",26.3,"(26, 3)"
78,Mac,supports-original-timestamp-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
79,Mac,supports-people-ranging-v1,14.0,"(14, 0)",26.3,"(26, 3)"
80,Mac,supports-people-request-messages,13.0,"(13, 0)",26.3,"(26, 3)"
81,Mac,supports-people-request-messages-v2,14.0,"(14, 0)",26.3,"(26, 3)"
82,Mac,supports-people-request-messages-v3,14.0,"(14, 0)",26.3,"(26, 3)"
83,Mac,supports-photos-extension-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
84,Mac,supports-photos-extension-v2,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
85,Mac,supports-polls,26.0,"(26, 0)",26.3,"(26, 3)"
86,Mac,supports-protobuf-payload-data-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
87,Mac,supports-qta,15.6,"(15, 6)",26.3,"(26, 3)"
88,Mac,supports-queue-one-read-receipts,26.0,"(26, 0)",26.0,"(26, 0)"
89,Mac,supports-queue-one-read-receipts-v3,26.3,"(26, 3)",26.3,"(26, 3)"
90,Mac,supports-rbm-chatbot,15.4,"(15, 4)",26.3,"(26, 3)"
91,Mac,supports-recovery-contact-upsell,15.2,"(15, 2)",26.3,"(26, 3)"
92,Mac,supports-recurring-payment-bubbles,14.0,"(14, 0)",26.3,"(26, 3)"
93,Mac,supports-rem,13.0,"(13, 0)",26.3,"(26, 3)"
94,Mac,supports-remote-atv-signin,15.0,"(15, 0)",26.3,"(26, 3)"
95,Mac,supports-restricted-guest,15.0,"(15, 0)",26.3,"(26, 3)"
96,Mac,supports-sa-v1,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
97,Mac,supports-screen-time-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
98,Mac,supports-secure-loc-v1,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
99,Mac,supports-self-one-to-one-invites,13.0,"(13, 0)",26.3,"(26, 3)"
100,Mac,supports-send-later-messages,15.0,"(15, 0)",26.3,"(26, 3)"
101,Mac,supports-sender-key-self-check,15.4,"(15, 4)",26.3,"(26, 3)"
102,Mac,supports-sender-key-v1,15.0,"(15, 0)",26.3,"(26, 3)"
103,Mac,supports-shared-exp,13.0,"(13, 0)",26.3,"(26, 3)"
104,Mac,supports-significant-app-update,26.3,"(26, 3)",26.3,"(26, 3)"
