device_type,device_model,os_version,name,typed_value
iPhone,"iPhone14,4",15.5,show-peer-errors,
iPhone,"iPhone14,4",15.5,is-c2k-equipment,
iPhone,"iPhone14,4",15.5,supports-inline-attachments,
iPhone,"iPhone14,4",15.5,supports-keep-receipts,
iPhone,"iPhone14,4",15.5,supports-location-sharing,
iPhone,"iPhone14,4",15.5,supports-media-v2,
iPhone,"iPhone14,4",15.5,supports-st-v1,
iPhone,"iPhone14,4",15.5,supports-ca-v1,
iPhone,"iPhone14,4",15.5,supports-be-v1,
iPhone,"iPhone14,4",15.5,supports-ack-v1,
iPhone,"iPhone14,4",15.5,supports-fsm-v1,
iPhone,"iPhone14,4",15.5,supports-fsm-v2,
iPhone,"iPhone14,4",15.5,supports-fsm-v3,
iPhone,"iPhone14,4",15.5,supports-ii-v1,
iPhone,"iPhone14,4",15.5,supports-impact-v1,
iPhone,"iPhone14,4",15.5,supports-update-attachments-v1,
iPhone,"iPhone14,4",15.5,supports-autoloopvideo-v1,
iPhone,"iPhone14,4",15.5,supports-photos-extension-v1,
iPhone,"iPhone14,4",15.5,supports-photos-extension-v2,
iPhone,"iPhone14,4",15.5,supports-screen-time-v2,
iPhone,"iPhone14,4",15.5,supports-live-delivery,
iPhone,"iPhone14,4",15.5,supports-audio-messaging-v2,
iPhone,"iPhone14,4",15.5,supports-animoji-v2,
iPhone,"iPhone14,4",15.5,supports-certified-delivery-v1,
iPhone,"iPhone14,4",15.5,supports-original-timestamp-v1,
iPhone,"iPhone14,4",15.5,supports-incoming-fmd-v1,
iPhone,"iPhone14,4",15.5,optionally-receive-typing-indicators,
iPhone,"iPhone14,4",15.5,nicknames-version,
iPhone,"iPhone14,4",15.5,kt-version,4.0
iPhone,"iPhone14,4",15.5,device-key-signature,
iPhone,"iPhone14,4",15.5,ec-version,1.0
iPhone,"iPhone14,4",15.5,supports-protobuf-payload-data-v2,
iPhone,"iPhone14,4",15.5,supports-heif,True
iPhone,"iPhone14,4",15.5,supports-hdr,
iPhone,"iPhone14,4",15.5,prefers-sdr,
iPhone,"iPhone14,4",15.5,supports-modern-gft,
iPhone,"iPhone14,4",15.5,supports-co,
iPhone,"iPhone14,4",15.5,is-green-tea,
iPhone,"iPhone14,4",15.5,supports-sa-v1,
iPhone,"iPhone14,4",15.5,supports-dq-nr,
iPhone,"iPhone14,4",15.5,supports-st-er,
iPhone,"iPhone14,4",15.5,supports-key-sharing,
iPhone,"iPhone14,4",15.5,supports-harmony,
iPhone,"iPhone14,4",15.5,supports-activity-sharing-v1,True
iPhone,"iPhone14,4",15.5,supports-manatee-for-apple-cash,
iPhone,"iPhone14,4",15.5,supports-region-for-apple-cash,
iPhone,"iPhone14,4",15.5,supports-fmd-v2,
iPhone,"iPhone14,4",15.5,supports-fm-fence-v1,True
