device_type,os_version_key,name,typed_value
Mac,"(11, 0, 1)",ec-version,1.0
Mac,"(11, 0, 1)",is-c2k-equipment,False
Mac,"(11, 0, 1)",kt-version,4.0
Mac,"(11, 0, 1)",nicknames-version,
Mac,"(11, 0, 1)",optionally-receive-typing-indicators,
Mac,"(11, 0, 1)",prefers-sdr,
Mac,"(11, 0, 1)",show-peer-errors,
Mac,"(11, 0, 1)",supports-ack-v1,
Mac,"(11, 0, 1)",supports-animoji-v2,True
Mac,"(11, 0, 1)",supports-audio-messaging-v2,
Mac,"(11, 0, 1)",supports-autoloopvideo-v1,
Mac,"(11, 0, 1)",supports-be-v1,
Mac,"(11, 0, 1)",supports-ca-v1,
Mac,"(11, 0, 1)",supports-certified-delivery-v1,
Mac,"(11, 0, 1)",supports-fm-fence-v1,
Mac,"(11, 0, 1)",supports-fmd-v2,
Mac,"(11, 0, 1)",supports-fsm-v1,
Mac,"(11, 0, 1)",supports-fsm-v2,
Mac,"(11, 0, 1)",supports-fsm-v3,
Mac,"(11, 0, 1)",supports-harmony,False
Mac,"(11, 0, 1)",supports-hdr,True
Mac,"(11, 0, 1)",supports-heif,True
Mac,"(11, 0, 1)",supports-ii-v1,
Mac,"(11, 0, 1)",supports-impact-v1,
Mac,"(11, 0, 1)",supports-incoming-fmd-v1,
Mac,"(11, 0, 1)",supports-inline-attachments,
Mac,"(11, 0, 1)",supports-keep-receipts,
Mac,"(11, 0, 1)",supports-key-sharing,
Mac,"(11, 0, 1)",supports-live-delivery,
Mac,"(11, 0, 1)",supports-location-sharing,
Mac,"(11, 0, 1)",supports-media-v2,
Mac,"(11, 0, 1)",supports-original-timestamp-v1,
Mac,"(11, 0, 1)",supports-photos-extension-v1,
Mac,"(11, 0, 1)",supports-protobuf-payload-data-v2,
Mac,"(11, 0, 1)",supports-screen-time-v2,
Mac,"(11, 0, 1)",supports-st-v1,
Mac,"(11, 0, 1)",supports-update-attachments-v1,
Mac,"(12, 0, 1)",ec-version,1.0
Mac,"(12, 0, 1)",is-c2k-equipment,False
Mac,"(12, 0, 1)",is-green-tea,
Mac,"(12, 0, 1)",kt-version,4.0
Mac,"(12, 0, 1)",nicknames-version,
Mac,"(12, 0, 1)",optionally-receive-typing-indicators,
Mac,"(12, 0, 1)",prefers-sdr,
Mac,"(12, 0, 1)",show-peer-errors,
Mac,"(12, 0, 1)",supports-ack-v1,
Mac,"(12, 0, 1)",supports-animoji-v2,True
Mac,"(12, 0, 1)",supports-audio-messaging-v2,
Mac,"(12, 0, 1)",supports-autoloopvideo-v1,
Mac,"(12, 0, 1)",supports-be-v1,
Mac,"(12, 0, 1)",supports-beacon-sharing-v2,
Mac,"(12, 0, 1)",supports-ca-v1,
Mac,"(12, 0, 1)",supports-certified-delivery-v1,
Mac,"(12, 0, 1)",supports-co,
Mac,"(12, 0, 1)",supports-dq-nr,
Mac,"(12, 0, 1)",supports-fm-fence-v1,
