city,country,service,lat,lon
San Jose,US,Amazon,37.3361663,-121.890591
Kuala Lumpur,MY,Amazon,3.1526589,101.7022205
Zaragoza,ES,Amazon,41.6521342,-0.8809428
Zurich,CH,Amazon,47.3744489,8.5410422
Milan,IT,Amazon,45.4641943,9.1896346
Tel Aviv,IL,Amazon,32.0852997,34.7818064
Hyderabad,IN,Amazon,17.360589,78.4740613
Columbus,US,Amazon,39.9622601,-83.0007065
Osaka,JP,Amazon,34.6937569,135.5014539
Boardman,US,Amazon,45.839855,-119.700583
Melbourne,AU,Amazon,-37.8142454,144.9631732
Querétaro City,MX,Amazon,20.5922997,-100.3917424
City of London,GB,Amazon,51.5156177,-0.0919983
Stockholm,SE,Amazon,59.3251172,18.0710935
Tokyo,JP,Amazon,35.6768601,139.7638947
Cape Town,ZA,Amazon,-33.9288301,18.4172197
Auckland,NZ,Amazon,-36.852095,174.7631803
Mumbai,IN,Amazon,19.054999,72.8692035
Jakarta,ID,Amazon,-6.1754049,106.827168
Hong Kong,HK,Amazon,22.2534635,114.190975
Dubai,AE,Amazon,25.0742823,55.1885387
Incheon,KR,Amazon,37.456,126.7052
Sydney,AU,Amazon,-33.8698439,151.2082848
Singapore,SG,Amazon,1.357107,103.8194992
Frankfurt am Main,DE,Amazon,50.1106444,8.6820917
Bangkok,TH,Amazon,13.7524938,100.4935089
Montreal,CA,Amazon,45.5031824,-73.5698065
Paris,FR,Amazon,48.8588897,2.320041
Taipei,TW,Amazon,25.0375198,121.5636796
São Paulo,BR,Amazon,-23.5506507,-46.6333824
Ashburn,US,Amazon,39.0437192,-77.4874899
Calgary,CA,Amazon,51.0456064,-114.057541
Hong Kong,HK,Amazon,22.2534635,114.190975
Manama,BH,Amazon,26.2235041,50.5822436
Dublin,IE,Amazon,53.3493795,-6.2605593
Boston,US,Apple,42.3588336,-71.0578303
Chicago,US,Apple,41.8755616,-87.6244212
Chicago,US,Apple,41.8755616,-87.6244212
Miami,US,Apple,25.7741566,-80.1935973
Frankfurt am Main,DE,Apple,50.1106444,8.6820917
Osaka,JP,Apple,34.6937569,135.5014539
Leesburg,US,Apple,39.1154506,-77.5645607
Berlin,DE,Apple,52.5173885,13.3951309
Salford,GB,Apple,53.4877463,-2.2891921
Los Angeles,US,Apple,34.0536909,-118.242766
Singapore,SG,Apple,1.357107,103.8194992
São Paulo,BR,Apple,-23.5506507,-46.6333824
Seattle,US,Apple,47.6038321,-122.330062
Stockholm,SE,Apple,59.3251172,18.0710935
London,GB,Apple,51.5074456,-0.1277653
Banqiao,TW,Apple,25.0096703,121.4590989
Tokyo,JP,Apple,35.6768601,139.7638947
San Jose,US,Apple,37.3361663,-121.890591
Madrid,ES,Apple,40.416782,-3.703507
Mumbai,IN,Apple,19.054999,72.8692035
New York City,US,Apple,40.7127281,-74.0060152
Copenhagen,DK,Apple,55.6867243,12.5700724
Sydney,AU,Apple,-33.8698439,151.2082848
